"identifier","palms_datetime","dow","lat","lon","fixtypecode","iov","tripnumber","triptype","tripmot","activity","activityintensity","activityboutnumber","sedentaryboutnumber"
"BC0627",2013-08-26 11:08:45,1,-36.80079465,174.69962969,2,0,1,1,1,0,0,0,2
"BC0627",2013-08-26 11:09:00,1,-36.80054081,174.69989964,1,1,1,2,1,118,1,0,2
"BC0627",2013-08-26 11:09:15,1,-36.80054587,174.69991209,1,0,1,2,1,312,1,0,0
"BC0627",2013-08-26 11:09:30,1,-36.80038721,174.69979841,1,0,1,2,1,1236,3,0,0
"BC0627",2013-08-26 11:09:45,1,-36.80022314,174.69991945,1,0,1,2,1,1146,3,0,0
"BC0627",2013-08-26 11:10:00,1,-36.80007559,174.70009887,1,0,1,2,1,1265,3,0,0
"BC0627",2013-08-26 11:10:15,1,-36.80003868,174.70034121,1,0,1,2,1,1122,3,0,0
"BC0627",2013-08-26 11:10:30,1,-36.79996349,174.70056826,1,0,1,2,1,1366,3,0,0
"BC0627",2013-08-26 11:10:45,1,-36.79987635,174.70077569,1,0,1,2,1,1420,3,0,0
"BC0627",2013-08-26 11:11:00,1,-36.79997766,174.70091176,1,0,1,2,1,1011,3,0,0
"BC0627",2013-08-26 11:11:15,1,-36.79995753,174.70094898,1,1,1,2,1,126,1,0,0
"BC0627",2013-08-26 11:11:30,1,-36.79988146,174.70101568,1,0,1,4,1,0,0,0,0
"BC0627",2013-08-26 11:11:45,1,-36.79983871,174.70106623,1,1,0,0,0,0,0,0,0
"BC0627",2013-08-26 11:12:00,1,-36.79982184,174.70112577,1,1,0,0,0,0,0,0,0
"BC0627",2013-08-26 11:12:15,1,-36.7998412,174.70115128,1,1,0,0,0,40,1,0,0
"BC0627",2013-08-26 11:12:30,1,-36.79982751,174.70115261,1,0,0,0,0,0,0,0,0
"BC0627",2013-08-26 11:12:45,1,-36.79987656,174.70108408,1,0,0,0,0,632,2,0,0
"BC0627",2013-08-26 11:13:00,1,-36.79986028,174.70101394,1,0,0,0,0,226,1,0,0
"BC0627",2013-08-26 11:13:15,1,-36.79986577,174.7010091,1,0,0,0,0,205,1,0,0
"BC0627",2013-08-26 11:13:30,1,-36.79985283,174.70106225,1,0,0,0,0,19,0,0,0
"BC0627",2013-08-26 11:13:45,1,-36.79986298,174.7010252,1,0,0,0,0,488,1,0,0
"BC0627",2013-08-26 11:14:00,1,-36.79991792,174.70100696,1,0,0,0,0,177,1,0,0
"BC0627",2013-08-26 11:14:15,1,-36.79993651,174.70102036,1,0,0,0,0,440,1,0,0
"BC0627",2013-08-26 11:14:30,1,-36.79995632,174.70101033,1,1,0,0,0,569,1,0,0
"BC0627",2013-08-26 11:14:45,1,-36.79995591,174.70100144,1,0,0,0,0,45,1,0,0
"BC0627",2013-08-26 11:15:00,1,-36.7998781,174.70098036,1,0,0,0,0,75,1,0,0
"BC0627",2013-08-26 11:15:15,1,-36.79986842,174.70096589,1,0,0,0,0,168,1,0,0
"BC0627",2013-08-26 11:15:30,1,-36.79988517,174.70095117,1,0,0,0,0,658,2,0,0
"BC0627",2013-08-26 11:15:45,1,-36.79989824,174.70079353,1,0,0,0,0,304,1,0,0
"BC0627",2013-08-26 11:16:00,1,-36.79986595,174.70082083,1,0,0,0,0,429,1,0,0
"BC0627",2013-08-26 11:16:15,1,-36.79984813,174.70085456,1,0,0,0,0,412,1,0,0
"BC0627",2013-08-26 11:16:30,1,-36.79985498,174.7009135,1,0,0,0,0,80,1,0,0
"BC0627",2013-08-26 11:16:45,1,-36.79987235,174.70088044,1,0,0,0,0,269,1,0,0
"BC0627",2013-08-26 11:17:00,1,-36.79987613,174.7009058,1,0,0,0,0,97,1,0,0
"BC0627",2013-08-26 11:17:15,1,-36.79991231,174.70095804,1,0,0,0,0,66,1,0,0
"BC0627",2013-08-26 11:17:30,1,-36.79987501,174.70096238,1,0,0,0,0,183,1,0,0
"BC0627",2013-08-26 11:17:45,1,-36.79982238,174.70096655,1,0,0,0,0,448,1,0,0
"BC0627",2013-08-26 11:18:00,1,-36.79986331,174.70096503,1,1,0,0,0,128,1,0,0
"BC0627",2013-08-26 11:18:15,1,-36.79982748,174.70096175,1,0,0,0,0,11,0,0,0
"BC0627",2013-08-26 11:18:30,1,-36.79982455,174.70095047,1,0,0,0,0,275,1,0,0
"BC0627",2013-08-26 11:18:45,1,-36.79979793,174.70095019,1,0,0,0,0,138,1,0,0
"BC0627",2013-08-26 11:19:00,1,-36.79981894,174.70094338,1,0,0,0,0,200,1,0,0
"BC0627",2013-08-26 11:19:15,1,-36.79981054,174.70095233,1,0,0,0,0,298,1,0,0
"BC0627",2013-08-26 11:19:30,1,-36.79979975,174.70095438,1,0,0,0,0,201,1,0,0
"BC0627",2013-08-26 11:19:45,1,-36.79979969,174.70098724,1,0,0,0,0,202,1,0,0
"BC0627",2013-08-26 11:20:00,1,-36.79981769,174.70099506,1,0,0,0,0,209,1,0,0
"BC0627",2013-08-26 11:20:15,1,-36.79983968,174.70095055,1,0,0,0,0,408,1,0,0
